https://www.goodcarbadcar.net/2025-u-s-auto-sales-figures-by-model-all-vehicle-ranked/
U.S Vehicle Model Sales by Month (All Models)
This sales data table looks at monthly sales performance for every model sold in the United States on a month to month basis for the entire year so far. It includes all major models sold in the U.S market and you can see that the monthly sales trends clearly. Seeing the individual model sales performance in this way gives you a good sense of the momentum (good or bad).

 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Acura ADX	-	-	178	970	1,542	-	-	-	-	-	-	-
Acura Integra	1,393	1,367	1,920	2,038	1,776	-	-	-	-	-	-	-
Acura MDX	2,966	3,463	4,212	4,230	3,880	-	-	-	-	-	-	-
Acura RDX	2,594	2,561	3,767	3,741	2,931	-	-	-	-	-	-	-
Acura TLX	354	438	740	709	687	-	-	-	-	-	-	-
Acura ZDX	1,384	1,494	1,935	2,331	1,873	-	-	-	-	-	-	-
Alfa Romeo Giulia	180	173	188	-	-	-	-	-	-	-	-	-
Alfa Romeo Stelvio	229	220	238	-	-	-	-	-	-	-	-	-
Alfa Romeo Tonale	242	232	251	-	-	-	-	-	-	-	-	-
Audi A3	753	723	783	-	-	-	-	-	-	-	-	-
Audi A4	134	129	140	-	-	-	-	-	-	-	-	-
Audi A5	1,374	1,319	1,429	-	-	-	-	-	-	-	-	-
Audi A6	622	597	647	-	-	-	-	-	-	-	-	-
Audi A7	207	199	216	-	-	-	-	-	-	-	-	-
Audi A8	118	114	123	-	-	-	-	-	-	-	-	-
Audi e-Tron GT	83	80	87	-	-	-	-	-	-	-	-	-
Audi Q3	1,782	1,711	1,854	-	-	-	-	-	-	-	-	-
Audi Q4 e-tron	454	436	472	-	-	-	-	-	-	-	-	-
Audi Q4 e-tron Sportback	171	164	178	-	-	-	-	-	-	-	-	-
Audi Q5	4,553	4,371	4,735	-	-	-	-	-	-	-	-	-
Audi Q6 e-tron	1,082	1,039	1,125	-	-	-	-	-	-	-	-	-
Audi Q7	1,701	1,633	1,769	-	-	-	-	-	-	-	-	-
Audi Q8	1,022	981	1,063	-	-	-	-	-	-	-	-	-
Audi Q8 e-Tron	135	130	140	-	-	-	-	-	-	-	-	-
Audi Q8 Sportback e-tron	43	42	45	-	-	-	-	-	-	-	-	-
Audi R8	1	1	1	-	-	-	-	-	-	-	-	-
BMW 2-Series	1,516	1,455	1,577	-	-	-	-	-	-	-	-	-
BMW 3-Series	2,477	2,378	2,576	-	-	-	-	-	-	-	-	-
BMW 4-Series	3,959	3,801	4,117	-	-	-	-	-	-	-	-	-
BMW 5-Series	2,493	2,393	2,593	-	-	-	-	-	-	-	-	-
BMW 7-Series	852	818	886	-	-	-	-	-	-	-	-	-
BMW 8-Series	330	317	343	-	-	-	-	-	-	-	-	-
BMW iX	1,209	1,160	1,257	-	-	-	-	-	-	-	-	-
BMW X1	2,303	2,211	2,395	-	-	-	-	-	-	-	-	-
BMW X2	436	418	2,395	-	-	-	-	-	-	-	-	-
BMW X3	3,745	3,595	3,895	-	-	-	-	-	-	-	-	-
BMW X4	477	458	496	-	-	-	-	-	-	-	-	-
BMW X5	5,813	5,580	6,045	-	-	-	-	-	-	-	-	-
BMW X6	878	843	913	-	-	-	-	-	-	-	-	-
BMW X7	2,409	2,313	2,506	-	-	-	-	-	-	-	-	-
BMW XM	135	130	140	-	-	-	-	-	-	-	-	-
BMW Z4	173	166	180	-	-	-	-	-	-	-	-	-
Buick Enclave	3,689	3,541	3,837	-	-	-	-	-	-	-	-	-
Buick Encore GX	6,803	6,531	7,075	-	-	-	-	-	-	-	-	-
Buick Envision	5,162	4,955	5,368	-	-	-	-	-	-	-	-	-
Buick Envista	4,954	4,756	5,152	-	-	-	-	-	-	-	-	-
Cadillac CT4	405	388	421	-	-	-	-	-	-	-	-	-
Cadillac CT5	1,327	1,274	1,380	-	-	-	-	-	-	-	-	-
Cadillac Escalade	4,880	4,684	5,075	-	-	-	-	-	-	-	-	-
Cadillac Lyriq	1,533	1,472	1,595	-	-	-	-	-	-	-	-	-
Cadillac Optiq	572	549	595	-	-	-	-	-	-	-	-	-
Cadillac XT4	1,592	1,528	1,655	-	-	-	-	-	-	-	-	-
Cadillac XT5	2,118	2,033	2,202	-	-	-	-	-	-	-	-	-
Cadillac XT6	1,593	1,529	1,656	-	-	-	-	-	-	-	-	-
Chevrolet Blazer	4,837	4,643	5,030	-	-	-	-	-	-	-	-	-
Chevrolet Blazer EV	2,062	1,980	2,145	-	-	-	-	-	-	-	-	-
Chevrolet Bolt	4	4	5	-	-	-	-	-	-	-	-	-
Chevrolet Camaro	19	19	20	-	-	-	-	-	-	-	-	-
Chevrolet Colorado	8,619	8,274	8,963	-	-	-	-	-	-	-	-	-
Chevrolet Corvette	2,265	2,174	2,355	-	-	-	-	-	-	-	-	-
Chevrolet Equinox	23,667	22,721	24,614	-	-	-	-	-	-	-	-	-
Chevrolet Equinox EV	3,443	3,305	3,581	-	-	-	-	-	-	-	-	-
Chevrolet Express	4,124	3,959	4,289	-	-	-	-	-	-	-	-	-
Chevrolet Malibu	1,790	1,718	1,861	-	-	-	-	-	-	-	-	-
Chevrolet Silverado	43,238	41,508	44,968	-	-	-	-	-	-	-	-	-
Chevrolet Suburban	4,531	4,350	4,713	-	-	-	-	-	-	-	-	-
Chevrolet Tahoe	9,942	9,545	10,340	-	-	-	-	-	-	-	-	-
Chevrolet TrailBlazer	9,774	9,383	10,165	-	-	-	-	-	-	-	-	-
Chevrolet Traverse	9,444	9,066	9,821	-	-	-	-	-	-	-	-	-
Chevrolet Trax	19,674	18,887	20,461	-	-	-	-	-	-	-	-	-
Chrysler 300	114	109	118	-	-	-	-	-	-	-	-	-
Chrysler Pacifica	10,803	10,371	11,235	-	-	-	-	-	-	-	-	-
Chrysler Voyager	773	742	804	-	-	-	-	-	-	-	-	-
Dodge Challenger	307	295	320	-	-	-	-	-	-	-	-	-
Dodge Charger	351	337	365	-	-	-	-	-	-	-	-	-
Dodge Charger BEV	649	623	675	-	-	-	-	-	-	-	-	-
Dodge Durango	4,567	4,384	4,750	-	-	-	-	-	-	-	-	-
Dodge Hornet	1,369	1,315	1,424	-	-	-	-	-	-	-	-	-
Fiat 500	149	143	155	-	-	-	-	-	-	-	-	-
Fiat 500X	25	24	26	-	-	-	-	-	-	-	-	-
Ford Bronco	9,056	9,837	13,702	14,400	14,629	-	-	-	-	-	-	-
Ford Bronco Sport	9,372	10,030	13,961	11,886	14,472	-	-	-	-	-	-	-
Ford E-Series	2,939	2,968	3,772	3,699	3,379	-	-	-	-	-	-	-
Ford Edge	633	797	648	962	-	-	-	-	-	-	-	-
Ford Escape	9,902	13,958	13,497	12,903	17,395	-	-	-	-	-	-	-
Ford Expedition	4,620	4,389	4,473	11,116	11,298	-	-	-	-	-	-	-
Ford Explorer	13,505	15,071	18,738	20,989	20,504	-	-	-	-	-	-	-
Ford F-Series	58,644	59,310	72,435	72,765	79,817	-	-	-	-	-	-	-
Ford Maverick	8,730	10,277	19,008	20,183	15,508	-	-	-	-	-	-	-
Ford Mustang	2,399	2,792	4,186	4,922	5,010	-	-	-	-	-	-	-
Ford Mustang Mach E	3,529	3,312	4,766	2,927	4,724	-	-	-	-	-	-	-
Ford Ranger	4,502	4,448	5,963	7,006	6,319	-	-	-	-	-	-	-
Ford Transit	7,675	13,877	13,028	12,340	15,219	-	-	-	-	-	-	-
Genesis G70	986	-	1,005	803	773	-	-	-	-	-	-	-
Genesis G80	252	343	319	320	297	-	-	-	-	-	-	-
Genesis G90	202	122	99	116	119	-	-	-	-	-	-	-
Genesis GV60	166	224	320	192	148	-	-	-	-	-	-	-
Genesis GV70	1,585	2,289	2,890	2,634	3,130	-	-	-	-	-	-	-
Genesis GV80	1,078	1,564	2,147	1,920	1,940	-	-	-	-	-	-	-
Genesis GV80 Coupe	-	276	327	322	316	-	-	-	-	-	-	-
GMC Acadia	4,419	4,242	4,596	-	-	-	-	-	-	-	-	-
GMC Canyon	3,032	2,911	3,153	-	-	-	-	-	-	-	-	-
GMC Hummer EV	1,160	1,113	1,206	-	-	-	-	-	-	-	-	-
GMC Savana	858	824	893	-	-	-	-	-	-	-	-	-
GMC Sierra	26,180	25,133	27,228	-	-	-	-	-	-	-	-	-
GMC Terrain	5,316	5,103	5,529	-	-	-	-	-	-	-	-	-
GMC Yukon	7,775	7,464	8,086	-	-	-	-	-	-	-	-	-
