 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Acura ADX 	-	-	178	970	1,542	1,971	2,292	2,568	2,234	-	-	-
Acura Integra 	1,393 	1,367 	1,920 	2,038 	1,776 	1,429 	1,404 	1,745 	1,567 	- 	- 	-
Acura MDX 	2,966 	3,463 	4,212 	4,230 	3,880 	3,203 	2,976 	3,017 	2,866 	- 	- 	-
Acura RDX 	2,594 	2,561 	3,767 	3,741 	2,931 	3,603 	1,974 	2,232 	1,947 	- 	- 	-
Acura TLX 	354 	438 	740 	709 	687 	706 	779 	1,019 	697 	- 	- 	-
Acura ZDX 	1,384 	1,494 	1,935 	2,331 	1,873 	1,318 	665 	520 	395 	- 	- 	-
Alfa Romeo Giulia 	180 	173 	188 	115 	120 	106 	98 	86 	102 	- 	- 	-
Alfa Romeo Spider 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Alfa Romeo Stelvio 	229 	220 	238 	149 	154 	137 	129 	113 	134 	- 	- 	-
Alfa Romeo Tonale 	242 	232 	251 	146 	151 	134 	327 	286 	340 	- 	- 	-
Audi A3 	753 	723 	783 	885 	919 	817 	556 	487 	579 	- 	- 	-
Audi A4 	134 	129 	140 	33 	34 	30 	2 	2 	2 	- 	- 	-
Audi A5 	1,374 	1,319 	1,429 	1,403 	1,457 	1,295 	1,193 	1,043 	1,241 	- 	- 	-
Audi A6 	622 	597 	647 	572 	594 	528 	1,663 	1,454 	1,731 	- 	- 	-
Audi A6 Sportback e-tron 	- 	- 	- 	60 	63 	56 	- 	- 	- 	- 	- 	-
Audi A7 	207 	199 	216 	159 	166 	147 	102 	89 	106 	- 	- 	-
Audi A8 	118 	114 	123 	133 	138 	123 	122 	107 	127 	- 	- 	-
Audi e-Tron GT 	83 	80 	87 	75 	78 	70 	224 	196 	233 	- 	- 	-
Audi Q3 	1,782 	1,711 	1,854 	2,453 	2,547 	2,264 	1,920 	1,679 	1,998 	- 	- 	-
Audi Q4 e-tron 	454 	436 	472 	296 	308 	273 	1,216 	1,064 	1,266 	- 	- 	-
Audi Q4 e-tron Sportback 	171 	164 	178 	125 	130 	115 	- 	- 	- 	- 	- 	-
Audi Q5 	4,553 	4,371 	4,735 	3,125 	3,245 	2,885 	3,334 	2,916 	3,470 	- 	- 	-
Audi Q6 e-tron 	1,082 	1,039 	1,125 	1,255 	1,303 	1,158 	3,533 	3,090 	3,677 	- 	- 	-
